Syntenic _gene,genome
Zm00001d000001,B73
Zm00001d000002,B73
Zm00001d000005,B73
Zm00001d000008,B73
Zm00001d000020,B73
Zm00001d000021,B73
Zm00001d000023,B73
Zm00001d000028,B73
Zm00001d000029,B73
Zm00001d000030,B73
Zm00001d000034,B73
Zm00001d000035,B73
Zm00001d000037,B73
Zm00001d000038,B73
Zm00001d000039,B73
Zm00001d000040,B73
Zm00001d000045,B73
Zm00001d000046,B73
Zm00001d000052,B73
Zm00001d000053,B73
Zm00001d000055,B73
Zm00001d000060,B73
Zm00001d000061,B73
Zm00001d000070,B73
Zm00001d000098,B73
Zm00001d000099,B73
Zm00001d000102,B73
Zm00001d000107,B73
Zm00001d000110,B73
Zm00001d000112,B73
Zm00001d000116,B73
Zm00001d000117,B73
Zm00001d000120,B73
Zm00001d000122,B73
Zm00001d000123,B73
Zm00001d000124,B73
Zm00001d000126,B73
Zm00001d000128,B73
Zm00001d000133,B73
Zm00001d000139,B73
Zm00001d000141,B73
Zm00001d000143,B73
Zm00001d000147,B73
Zm00001d000160,B73
Zm00001d000163,B73
Zm00001d000164,B73
Zm00001d000165,B73
Zm00001d000166,B73
Zm00001d000168,B73
Zm00001d000169,B73
Zm00001d000175,B73
Zm00001d000176,B73
Zm00001d000178,B73
Zm00001d000179,B73
Zm00001d000180,B73
Zm00001d000181,B73
Zm00001d000183,B73
Zm00001d000184,B73
Zm00001d000193,B73
Zm00001d000194,B73
Zm00001d000195,B73
Zm00001d000197,B73
Zm00001d000199,B73
Zm00001d000202,B73
Zm00001d000203,B73
Zm00001d000204,B73
Zm00001d000205,B73
Zm00001d000213,B73
Zm00001d000216,B73
Zm00001d000220,B73
Zm00001d000222,B73
Zm00001d000223,B73
Zm00001d000224,B73
Zm00001d000226,B73
Zm00001d000227,B73
Zm00001d000229,B73
Zm00001d000230,B73
Zm00001d000236,B73
Zm00001d000238,B73
Zm00001d000240,B73
Zm00001d000241,B73
Zm00001d000242,B73
Zm00001d000247,B73
Zm00001d000256,B73
Zm00001d000257,B73
Zm00001d000288,B73
Zm00001d000294,B73
Zm00001d000295,B73
Zm00001d000298,B73
Zm00001d000299,B73
Zm00001d000300,B73
Zm00001d000301,B73
Zm00001d000302,B73
Zm00001d000303,B73
Zm00001d000304,B73
Zm00001d000305,B73
Zm00001d000307,B73
Zm00001d000308,B73
Zm00001d000313,B73
Zm00001d000314,B73
Zm00001d000316,B73
Zm00001d000320,B73
Zm00001d000326,B73
Zm00001d000328,B73
Zm00001d000339,B73
Zm00001d000345,B73
Zm00001d000346,B73
Zm00001d000349,B73
Zm00001d000357,B73
Zm00001d000358,B73
Zm00001d000360,B73
Zm00001d000379,B73
Zm00001d000381,B73
Zm00001d000382,B73
Zm00001d000385,B73
Zm00001d000387,B73
Zm00001d000390,B73
Zm00001d000391,B73
Zm00001d000396,B73
Zm00001d000399,B73
Zm00001d000400,B73
Zm00001d000402,B73
Zm00001d000403,B73
Zm00001d000406,B73
Zm00001d000407,B73
Zm00001d000408,B73
Zm00001d000418,B73
Zm00001d000424,B73
Zm00001d000428,B73
Zm00001d000430,B73
Zm00001d000431,B73
Zm00001d000434,B73
Zm00001d000435,B73
Zm00001d000447,B73
Zm00001d000458,B73
Zm00001d001765,B73
Zm00001d001766,B73
Zm00001d001769,B73
Zm00001d001772,B73
Zm00001d001773,B73
Zm00001d001774,B73
Zm00001d001776,B73
Zm00001d001779,B73
Zm00001d001780,B73
Zm00001d001784,B73
Zm00001d001785,B73
Zm00001d001786,B73
Zm00001d001787,B73
Zm00001d001788,B73
Zm00001d001789,B73
Zm00001d001790,B73
Zm00001d001791,B73
Zm00001d001797,B73
Zm00001d001798,B73
Zm00001d001799,B73
Zm00001d001800,B73
Zm00001d001803,B73
Zm00001d001804,B73
Zm00001d001806,B73
Zm00001d001807,B73
Zm00001d001808,B73
Zm00001d001809,B73
Zm00001d001811,B73
Zm00001d001812,B73
Zm00001d001813,B73
Zm00001d001814,B73
Zm00001d001817,B73
Zm00001d001819,B73
Zm00001d001820,B73
Zm00001d001824,B73
Zm00001d001825,B73
Zm00001d001826,B73
Zm00001d001827,B73
Zm00001d001828,B73
Zm00001d001829,B73
Zm00001d001830,B73
Zm00001d001831,B73
Zm00001d001832,B73
Zm00001d001835,B73
Zm00001d001837,B73
Zm00001d001838,B73
Zm00001d001839,B73
Zm00001d001841,B73
Zm00001d001842,B73
Zm00001d001843,B73
Zm00001d001844,B73
Zm00001d001845,B73
Zm00001d001846,B73
Zm00001d001847,B73
Zm00001d001848,B73
Zm00001d001849,B73
Zm00001d001850,B73
Zm00001d001852,B73
Zm00001d001855,B73
Zm00001d001856,B73
Zm00001d001857,B73
Zm00001d001858,B73
Zm00001d001859,B73
Zm00001d001860,B73
Zm00001d001861,B73
Zm00001d001862,B73
Zm00001d001864,B73
Zm00001d001865,B73
Zm00001d001866,B73
Zm00001d001868,B73
Zm00001d001869,B73
Zm00001d001870,B73
Zm00001d001871,B73
Zm00001d001877,B73
Zm00001d001879,B73
Zm00001d001880,B73
Zm00001d001881,B73
Zm00001d001883,B73
Zm00001d001884,B73
Zm00001d001887,B73
Zm00001d001894,B73
Zm00001d001895,B73
Zm00001d001896,B73
Zm00001d001897,B73
Zm00001d001898,B73
Zm00001d001899,B73
Zm00001d001900,B73
Zm00001d001901,B73
Zm00001d001902,B73
Zm00001d001905,B73
Zm00001d001906,B73
Zm00001d001907,B73
Zm00001d001909,B73
Zm00001d001910,B73
Zm00001d001913,B73
Zm00001d001914,B73
Zm00001d001915,B73
Zm00001d001924,B73
Zm00001d001927,B73
